Height,Shag,Little_Gull,Atlantic_Puffin,Black_Throated_Diver,Common_Tern,Northern_Fulmar,Lesser_Black_Backed_Gull,Herring_Gull,Arctic_Tern,Little_Auk,Black_Headed_Gull,Great_Black_backed_Gull,Sandwich_Tern,Arctic_Skua,Great_Skua,Common_Gull,Manx_Shearwater,Northern_Gannet,Black_legged_Kittiwake,Common_Guillemot,Razorbill
1,,,,,,,,,,,,,,,,,,,0.0904433,,
2,,,,,,,,,,,,,,,,,,,0.082272912,,
3,,,,,,,,,,,,,,,,,,,0.07484057,,
4,,,,,,,,,,,,,,,,,,,0.068079578,,
5,,,,,,,,,,,,,,,,,,,0.061929266,,
6,,,,,,,,,,,,,,,,,,,0.056334451,,
7,,,,,,,,,,,,,,,,,,,0.051244937,,
8,,,,,,,,,,,,,,,,,,,0.046615067,,
9,,,,,,,,,,,,,,,,,,,0.042403311,,
10,,,,,,,,,,,,,,,,,,,0.038571894,,
11,,,,,,,,,,,,,,,,,,,0.035086455,,
12,,,,,,,,,,,,,,,,,,,0.031915741,,
13,,,,,,,,,,,,,,,,,,,0.029031324,,
14,,,,,,,,,,,,,,,,,,,0.026407347,,
15,,,,,,,,,,,,,,,,,,,0.024020287,,
16,,,,,,,,,,,,,,,,,,,0.02184875,,
17,,,,,,,,,,,,,,,,,,,0.019873273,,
18,,,,,,,,,,,,,,,,,,,0.018076154,,
19,,,,,,,,,,,,,,,,,,,0.016441289,,
20,,,,,,,,,,,,,,,,,,,0.014954029,,
21,,,,,,,,,,,,,,,,,,,0.013601051,,
22,,,,,,,,,,,,,,,,,,,0.012370233,,
23,,,,,,,,,,,,,,,,,,,0.011250548,,
24,,,,,,,,,,,,,,,,,,,0.010231966,,
25,,,,,,,,,,,,,,,,,,,0.009305364,,
26,,,,,,,,,,,,,,,,,,,0.00846244,,
27,,,,,,,,,,,,,,,,,,,0.007695644,,
28,,,,,,,,,,,,,,,,,,,0.006998107,,
29,,,,,,,,,,,,,,,,,,,0.00636358,,
30,,,,,,,,,,,,,,,,,,,0.005786378,,
31,,,,,,,,,,,,,,,,,,,0.005261329,,
32,,,,,,,,,,,,,,,,,,,0.004783728,,
33,,,,,,,,,,,,,,,,,,,0.004349294,,
34,,,,,,,,,,,,,,,,,,,0.003954134,,
35,,,,,,,,,,,,,,,,,,,0.003594703,,
36,,,,,,,,,,,,,,,,,,,0.003267779,,
37,,,,,,,,,,,,,,,,,,,0.002970429,,
