"","Species","AvoidanceBasic","AvoidanceBasicSD","AvoidanceExtended","AvoidanceExtendedSD","Body_Length","Body_LengthSD","Wingspan","WingspanSD","Flight_Speed","Flight_SpeedSD","Nocturnal_Activity","Nocturnal_ActivitySD","Flight","Prop_CRH_Obs","Prop_CRH_ObsSD"
"Northern_Fulmar","Northern_Fulmar",NA,NA,NA,NA,0.48,NA,1.07,NA,13,NA,0.75,NA,"Gliding",0.01,NA
"Northern_Gannet","Northern_Gannet",0.98,NA,0.98,NA,0.94,0.005,1.72,0.04,14.9,1.5,0.25,0.0045,"Flapping",0.16,0.009
"Lesser_Black_Backed_Gull","Lesser_Black_Backed_Gull",NA,NA,NA,NA,0.58,NA,1.42,NA,9.95,NA,0.5,NA,"Flapping",0.36,NA
"Herring_Gull","Herring_Gull",NA,NA,NA,NA,0.6,NA,1.44,NA,9.9,NA,0.5,NA,"Flapping",0.36,NA
"Great_Black_backed_Gull","Great_Black_backed_Gull",NA,NA,NA,NA,0.71,NA,1.58,NA,13,NA,0.5,NA,"Flapping",0.32,NA
"Black_legged_Kittiwake","Black_legged_Kittiwake",0.95,1e-08,0.95,1e-08,0.39,1e-08,1.08,1e-08,7.26,1e-08,0.5,1e-08,"Flapping",0.06,1e-08
"Common_Guillemot","Common_Guillemot",NA,NA,NA,NA,0.4,NA,0.67,NA,19.1,NA,0.25,NA,"Flapping",0.04,NA
"Razorbill","Razorbill",NA,NA,NA,NA,0.38,NA,0.66,NA,16,NA,0,NA,"Flapping",0.07,NA
"Little_Auk","Little_Auk",NA,NA,NA,NA,0.18,NA,0.44,NA,17.66,NA,0,NA,"Flapping",0.02,NA
"Atlantic_Puffin","Atlantic_Puffin",NA,NA,NA,NA,0.28,NA,0.55,NA,17.6,NA,0,NA,"Flapping",0.002,NA
"Arctic_Skua","Arctic_Skua",NA,NA,NA,NA,0.44,NA,1.18,NA,13.3,NA,0,NA,"Flapping",0.008,NA
"Great_Skua","Great_Skua",NA,NA,NA,NA,0.56,NA,1.36,NA,14.9,NA,0,NA,"Flapping",0.076,NA
