"","Month","Mean","SD","CV","Median","IQR"
"1","Jan",26.5041325213633,5.40698103820424e-06,2.04005206880324e-05,26.5041313145915,7.06517134574369e-06
"2","Feb",27.1783520742247,8.76425833090333e-06,3.22472028729628e-05,27.178355392282,1.36313276186684e-05
"3","Mar",35.1484494232417,7.88002800731578e-06,2.24192763453889e-05,35.1484503911729,8.48857894197863e-06
"4","Apr",14.5831366717133,4.26234833805947e-06,2.92279256103186e-05,14.5831351642653,5.307320769532e-06
"5","May",18.1098994027831,6.56962780468906e-06,3.62764455979222e-05,18.1099003160004,8.87769977353514e-06
"6","Jun",20.6086488972241,4.99308533098605e-06,2.42281061504163e-05,20.6086480668285,4.52528790972906e-06
"7","Jul",21.888652817929,6.18516787759244e-06,2.82574168864616e-05,21.8886525170508,4.7638590707777e-06
"8","Aug",19.8928086696101,6.2548044155658e-06,3.14425404649931e-05,19.8928083492448,9.8090336138057e-06
"9","Sep",15.7299664976885,5.67865286394478e-06,3.61008579692733e-05,15.7299665459036,5.31770917788776e-06
"10","Oct",35.5128547466643,1.0185427122469e-05,2.86809584730038e-05,35.5128546048788,1.13023520995625e-05
"11","Nov",27.7698093369678,7.49883948001497e-06,2.70035684761881e-05,27.7698107879107,4.22110236542039e-06
"12","Dec",26.6164701171261,6.1727458229177e-06,2.31914517430541e-05,26.6164688825919,6.97949628403194e-06
