"","Parameter","Mean","SD","Median","IQR"
"1","RotorSpeed",6.8,0,6.8,0
"2","RotorRadius",80.0000000396861,1.03721482363662e-07,80.0000000391905,1.12514157990518e-07
"3","HubHeight",108.500000070078,1.6466817041665e-07,108.500000036633,2.348180601075e-07
"4","BladeWidth",5.49999997746492,1.19350858676129e-07,5.49999998475109,2.16588493806569e-07
"5","Pitch",0,0,0,0
"6","JanOp",89.979999997014,1.2474891369294e-07,89.9800000125101,2.08119445233024e-07
"7","FebOp",90.2299999785795,5.13000799438866e-08,90.2299999794426,8.63383178284494e-08
"8","MarOp",89.5299999878394,1.24979435518858e-07,89.530000015501,1.29611649413164e-07
"9","AprOp",86.480000024209,1.16118522189546e-07,86.4800000265405,1.58704310138091e-07
"10","MayOp",84.5599999917785,8.75571798187199e-08,84.5599999790841,6.36044603652408e-08
"11","JunOp",85.919999980343,5.52435485041076e-08,85.9199999792914,1.06025410673283e-07
"12","JulOp",82.8100000111484,8.57186820573463e-08,82.8100000409608,1.0644492931533e-07
"13","AugOp",83.6200000353272,1.29341933971227e-07,83.6200000185334,1.88439543080676e-07
"14","SepOp",87.4100000114618,1.09852977049378e-07,87.4100000418694,1.83284925014959e-07
"15","OctOp",89.8399999565791,1.38477133042974e-07,89.8400000099988,1.65363303494814e-07
"16","NovOp",90.8399999934521,8.90107165680601e-08,90.8399999968566,1.013675756667e-07
"17","DecOp",90.1100000288867,8.55725258906546e-08,90.1100000155137,1.05817932194441e-07
