Species,Jan,JanSD,Feb,FebSD,Mar,MarSD,Apr,AprSD,May,MaySD,Jun,JunSD,Jul,JulSD,Aug,AugSD,Sep,SepSD,Oct,OctSD,Nov,NovSD,Dec,DecSD
Arctic_Skua,,,,,,,,,,,,,,,,,,,,,,,,
Northern_Fulmar,,,,,,,,,,,,,,,,,,,,,,,,
Great_Black_backed_Gull,,,,,,,,,,,,,,,,,,,,,,,,
Common_Guillemot,,,,,,,,,,,,,,,,,,,,,,,,
Northern_Gannet,0.05,0.0000001,0.47,0.0000001,1.49,0.0000001,1.4,0.0000001,0.88,0.0000001,1.04,0.0000001,0.57,0.0000001,1.8,0.0000001,2.79,0.0000001,0.83,0.0000001,0.5,0.0000001,0.12,0.0000001
Black_legged_Kittiwake,,,,,,,,,,,,,,,,,,,,,,,,
Lesser_Black_Backed_Gull,,,,,,,,,,,,,,,,,,,,,,,,
Little_Auk,,,,,,,,,,,,,,,,,,,,,,,,
Great_Skua,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic_Puffin,,,,,,,,,,,,,,,,,,,,,,,,
Razorbill,,,,,,,,,,,,,,,,,,,,,,,,
